References,Value,Footprint,Quantity,Component Package,Testing Procedures,Procedures,Others,LCSC,Digikey
"C1, C3, C12, C14, C18, C20, C21, C22, C23",0.1uF,C_0402_1005Metric,9,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C1525,
"C15, C16",10pF,C_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C32949,
"C19, C28",4.7uF,C_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C23733,
"C27, C36",1uF,C_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C52923,
C24,1000pF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C1523,
C25,100pF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C1546,
C26,10nF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C15195,
C29,470nF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C47339,
"C2, C5",2.2uF,C_0805_2012Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C49217,
"C4, C6",10uF,C_0805_2012Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C15850,
C17,22uF,C_0805_2012Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C45783,
"C30, C32",10uF,C_1206_3216Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C13585,
"C31, C34",47uF,C_1206_3216Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C96123,
"C33, C35",100uF,C_1210_3225Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C15008,
"R2, R4, R7, R10, R13, R14, R17, R18, R19, R20, R21, R22, R23, R24, R27, R30, R33, R44, R45, R46",10K,R_0402_1005Metric,20,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25744,
"R5, R8, R25, R28, R31, R34",8.2K,R_0402_1005Metric,6,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25924,
"R9, R26, R29, R32, R35, R37",20K,R_0402_1005Metric,6,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25765,
"R1, R16",330R,R_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25104,
"R11, R12",33.2K,R_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C122548,
"R41, R42",100k,R_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25741,
R3,2.4K,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25882,
R6,120K,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25750,
R36,2.18k,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25879,
R38,2.61k,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C34906,
R39,4.22k,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25898,
R40,12k,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25752,
R43,1K,R_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C11702,
"L1, L2",10uH,L_0805_2012Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C280489,
L3,1uH,L_Bourns_SRP1245A,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C208109,
"D4, D5",DIODE,D_SOD-123F,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C8598,
"D7, D8",D_TVS,D_SOD-523,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C136171,
D1,LED,LED_0603_1608Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile, C142305,
"D2, D3, D6, D9, D10, D11, D12, D13",LED,LED_0603_1608Metric,9,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C72043,
U3,ESP32-WROOM-32,ESP32-WROOM-32,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C328062,
U2,BNO055,LGA-28_5.2x3.8mm_P0.5mm,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C93216,
U4,CP2102N-A01-GQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,,336-5888-2-ND
U1,PCA9685BS,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,,568-5305-2-ND 
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C32346,
"F1, F2, F3, F4, F5",Fuse,0154.250DR,5,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C108518,
"F6, F7",Fuse,Fuse_1210_3225Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C70076,
"SW1, SW2",SW_SPST,SW_SPST_EVQPE1,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C318938,
"IC1, IC2",LMR14010A,SOT-23-6,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C388174,
Q1,MBT3904DW1,SOT-363_SC-70-6,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C131781,
IC3,TPS40192DRCT-TPS40192DRCT,VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C14972,
"Q2, Q3",BUK9M17-30EX / BUK7M10-40E,VSON-8_3.3x3.3mm_P0.65mm_NexFET,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile, C458171,
J8,USB_C_Receptacle,C167321,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C167321,
"J1, J2, J26, J27, J28, J29",Qwiic connector,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,6,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,,1568-PRT-16766-ND
"J3, J4, J5, J6, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24",Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,20,Tube Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C49257,
J7,Micro_SD_Card,microSD_HC_Molex_104031-0811,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C585350,
